Session Title,Player Name,Minutes Played,Split Name,Player Name,Distance (miles),Player Name,Sprint Distance (yards),Player Name,Power Plays,Energy (kcal),Impacts,Hr Load,Time In Red Zone (min),Player Load,Player Name,Top Speed (mph),Distance Per Min (yd/min),Power Score (w/kg),Work Ratio,Hr Max (bpm),Max Deceleration (m/s/s),Max Acceleration (m/s/s),Distance in Speed Zone 1 (miles),Distance in Speed Zone 2 (miles),Distance in Speed Zone 3 (miles),Distance in Speed Zone 4 (miles),Distance in Speed Zone 5 (miles),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: > 20 G (Impacts),Power Play Duration Zones: 0 - 2.5 s (Power Plays),Power Play Duration Zones: 2.5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7.5 s (Power Plays),Power Play Duration Zones: 7.5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Distance in Deceleration Zones: 0 - 1 m/s/s (miles),Distance in Deceleration Zones: 1 - 2 m/s/s (miles),Distance in Deceleration Zones: 2 - 3 m/s/s (miles),Distance in Deceleration Zones: 3 - 4 m/s/s (miles),Distance in Deceleration Zones: > 4 m/s/s (miles),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Distance in Acceleration Zones: 0 - 1 m/s/s (miles),Distance in Acceleration Zones: 1 - 2 m/s/s (miles),Distance in Acceleration Zones: 2 - 3 m/s/s (miles),Distance in Acceleration Zones: 3 - 4 m/s/s (miles),Distance in Acceleration Zones: > 4 m/s/s (miles),Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Distance in Power Zone: 0 - 5 w/kg (miles),Distance in Power Zone: 5 - 10 w/kg (miles),Distance in Power Zone: 10 - 15 w/kg (miles),Distance in Power Zone: 15 - 20 w/kg (miles),Distance in Power Zone: 20 - 25 w/kg (miles),Distance in Power Zone: 25 - 30 w/kg (miles),Distance in Power Zone: 30 - 35 w/kg (miles),Distance in Power Zone: 35 - 40 w/kg (miles),Distance in Power Zone: 40 - 45 w/kg (miles),Distance in Power Zone: 45 - 50 w/kg (miles),Distance in Power Zone: > 50 w/kg (miles),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s,,,Player Name
DePauw,H,45,game,H,3.5648,H,266.3957,H,29,578.268,0,0,0,279.9434,H,16,63.5997,4.4677,24.4074,0,6,4.7371,3.0791,0.2088,0.1255,0.0868,0.0645,5761.7,76.9,39.9,24.2,16,45,0,0,0,0,0,14,8,6,1,1.5143,0.2493,0.0639,0.0189,0.0045,2665.3,188,37.6,10.8,2.1,1.3924,0.2672,0.0451,0.0078,0.0013,2745.4,218.8,40.9,8.5,1.3,0.7489,0.9003,0.9239,0.478,0.2353,0.1322,0.0726,0.0392,0.02,0.0075,0.007,4114.6,859.4,526.8,221.8,94.8,47.8,26.2,14.3,6.6,3.3,3.1,0,0,0,0,0,0,151,78,24,8,0,142,67,31,11,42,42,H
DePauw,A,25,game,A,1.9711,A,140.4491,A,11,353.0681,0,0,0,193.1115,A,14.9,35.1666,2.4469,13.2508,0,5.0445,4.9423,0.3113,0.9918,0.5881,0.0798,0,4743.3,891.9,260.8,22.9,0,26,0,0,0,0,0,4,6,1,0,0.8354,0.1479,0.0285,0.0077,0.0023,2666.9,107.2,17.4,4.3,1,0.7844,0.1367,0.0228,0.0047,0.0007,2988,110.4,18.6,4.3,0.8,0.4608,0.4596,0.5468,0.2761,0.1178,0.0551,0.0242,0.015,0.0063,0.0042,0.0052,4947.7,438.8,311.6,128.8,48.6,21.1,9.5,6.2,2.6,1.5,2.5,0,0,0,0,0,0,93,38,14,4,0,96,38,12,5,17,17,A
DePauw,C ,74,game,C ,5.8426,C ,86.2311,C ,37,1049.3601,0,0,0,504.7589,C ,14,104.2376,7.4929,46.7756,0,5.4267,5.2578,5.112,0.4697,0.212,0.0431,0.0059,5664.2,173.1,67.9,12.2,1.5,449,0,0,0,0,0,26,7,4,0,2.3715,0.507,0.114,0.0277,0.0057,2322.4,350.9,73.3,15.9,3,2.212,0.4921,0.0925,0.0175,0.0025,2689.5,374.7,72.4,14.6,2.2,0.6609,1.6189,1.7931,1.0112,0.4237,0.1586,0.0771,0.0469,0.0231,0.0099,0.0193,2626,1477.3,1029.6,461.8,177,68.9,34,19.9,10.4,4.8,9.2,0,0,0,0,0,0,340,175,49,9,0,317,155,50,16,66,66,C 
DePauw,O,6,game,O,0.5875,O,21.2948,O,5,83.3835,0,0,0,83.2027,O,11.9,10.4811,0.7277,3.5361,0,5.0534,3.4223,0.1318,0.2084,0.2353,0.0121,0,5623.1,192.2,99.8,3.8,0,9,0,0,0,0,0,3,1,1,0,0.2565,0.0447,0.0076,0.0012,0.0009,1450,32.2,4.8,0.7,0.6,0.2236,0.0451,0.0068,0.0011,0,4385.6,39.1,5,0.9,0,0.1591,0.1064,0.129,0.114,0.0487,0.0166,0.0077,0.0036,0.0016,0.0003,0.0006,5659.9,105.5,71.3,48.5,19.7,7.5,3.8,1.6,0.7,0.1,0.3,0,0,0,0,0,0,19,13,4,0,0,23,11,1,2,3,3,O
DePauw,I,39,game,I,3.1713,I,231.4746,I,24,454.7133,0,0,0,240.9609,I,15.5,56.5787,3.9684,22.6613,0,5.5778,4.8815,2.6795,0.2213,0.139,0.0943,0.0373,5757.6,81.3,44.3,26.5,9.2,23,0,0,0,0,0,11,7,3,3,1.322,0.2361,0.0502,0.0175,0.0049,1521.2,158,29.3,10,2.6,1.2648,0.2351,0.0332,0.0068,0.0008,3978.3,183.7,29,6,0.8,0.6119,0.8254,0.8181,0.4229,0.2428,0.1405,0.0636,0.0273,0.0096,0.0045,0.0048,4301.2,761.8,476.1,192.5,95,50.5,23.1,10.3,3.8,2.1,2.5,0,0,0,0,0,0,157,65,19,4,0,143,55,21,10,31,31,I
DePauw,G,31,game,G,2.2771,G,139.8038,G,16,379.1927,0,0,0,203.8696,G,16,40.626,2.8823,14.5384,0,5.3963,3.8045,1.9565,0.1741,0.0671,0.0455,0.034,5812.1,64.1,21.5,12.8,8.3,25,0,0,0,0,0,5,10,1,0,0.9215,0.2002,0.0438,0.0115,0.0059,2495.9,154.9,26.7,5.8,3.3,0.8567,0.1911,0.0428,0.0036,0,3028.2,166,34.7,3.3,0,0.569,0.5921,0.4615,0.3159,0.1478,0.0936,0.0503,0.0248,0.0088,0.0065,0.0069,4785.3,589,264.3,144.6,63.4,35.3,19.2,9.4,3.3,2.4,2.6,0,0,0,0,0,0,88,68,17,0,0,108,52,12,11,23,23,G
DePauw,V,90,game,V,6.4939,V,157.9173,V,26,1169.1347,2,0,0,511.1789,V,14.1,115.8564,8.2236,49.5582,0,5.8186,5.1475,5.9068,0.362,0.1353,0.0707,0.019,5717.5,133.4,43.3,19.8,4.9,279,3,0,0,0,0,14,9,3,0,2.6278,0.5277,0.1262,0.0293,0.008,2457.3,387.2,81.4,16.5,4.2,2.5571,0.5029,0.0943,0.0176,0.003,2463.6,410.3,79.9,15.6,2.9,1.0264,1.9154,1.9208,0.9557,0.3631,0.1574,0.0735,0.0394,0.0199,0.0076,0.0146,2261.4,1803.2,1109.2,450.8,158.7,65.5,31.2,17.9,9.7,3.3,8,0,0,0,0,0,0,380,208,44,15,0,326,188,46,22,68,68,V
DePauw,S,90,game,S,6.2346,S,343.6134,S,53,1168.6646,1,0,0,429.6083,S,16.2,111.2308,7.9821,46.5382,0,6,5.1867,5.3326,0.4577,0.2491,0.1061,0.0892,5619.8,167.8,79.5,29.9,21.8,235,1,0,0,0,0,36,11,3,3,2.3908,0.4915,0.1613,0.0587,0.0077,2412.2,342.3,97.2,31.6,4.4,2.4964,0.5031,0.1008,0.0203,0.0041,2561.6,375,72.9,17.7,3.9,1.0143,1.8968,1.4708,0.9215,0.4309,0.2321,0.1149,0.057,0.0369,0.0239,0.0356,2444.8,1848.8,838.8,417.4,175.1,88.3,44.2,22.5,14.8,9.1,15,0,0,0,0,0,0,274,157,44,16,0,237,152,77,26,103,103,S
DePauw,P,59,game,P,4.0502,P,191.7109,P,31,735.8771,4,0,0,262.7868,P,15,72.2587,5.1001,28.6098,0,6,4.6926,3.4036,0.3921,0.1455,0.0658,0.0431,5698,144.7,46.7,18.4,10.8,75,4,0,0,0,0,21,6,3,1,1.7179,0.2714,0.0701,0.0298,0.0127,1739.8,194,40.2,15,5.2,1.5849,0.2896,0.0614,0.0109,0.0014,3653.7,211.1,47.6,10.1,1.9,0.7314,1.1666,0.901,0.6703,0.2708,0.1556,0.0729,0.0357,0.0207,0.0091,0.0161,3728.5,1148.5,514.3,294.9,110.7,60.5,28.3,13.3,8.3,4.2,7.1,0,0,0,0,0,0,154,84,31,9,0,154,73,30,20,50,50,P
DePauw,X,90,game,X,2.7302,X,20.4439,X,3,531.2142,0,0,0,199.2409,X,13.6,48.7096,3.1689,9.838,0,6,5,1.0706,1.4814,0.1666,0.0116,0,4194.7,1642.5,78.3,3.4,0,20,0,0,0,0,0,3,0,0,0,1.3088,0.1298,0.0205,0.006,0.004,2835.9,158.1,16.6,4.3,2.2,1.1262,0.1078,0.0205,0.0058,0.0008,2699,171.7,23.8,6.4,0.9,1.6421,0.6667,0.2855,0.08,0.0272,0.0094,0.0063,0.0029,0.0047,0.0016,0.0037,4997.1,670.1,178.2,44.3,14,4.9,3.4,1.8,2.3,0.9,1.9,0,0,0,0,0,0,106,29,22,2,0,107,28,16,5,21,21,X
